Station,Date,Range,Hi,Lo
8726520,2004-02-09T05:00:00,2.471000,1.247000,-1.224000
8726520,2004-02-16T05:00:00,2.097000,2.169000,0.072000
8726520,2004-02-23T05:00:00,2.283000,2.503000,0.220000
8726520,2004-03-01T05:00:00,2.660000,1.870000,-0.790000
8726520,2004-03-08T05:00:00,2.225000,2.169000,-0.056000
8726520,2004-03-15T05:00:00,2.910000,2.438000,-0.472000
8726520,2004-03-22T05:00:00,1.719000,2.044000,0.325000
8726520,2004-03-29T05:00:00,2.155000,2.149000,-0.006000
8726520,2004-04-05T04:00:00,1.709000,1.995000,0.286000
8726520,2004-04-12T04:00:00,3.002000,2.776000,-0.226000
8726520,2004-04-14T04:00:00,1.712000,2.257000,0.545000
8726520,2004-04-19T04:00:00,1.778000,1.614000,-0.164000
8726520,2004-04-26T04:00:00,2.592000,2.336000,-0.256000
8726520,2004-05-03T04:00:00,1.795000,2.497000,0.702000
8726520,2004-05-11T04:00:00,2.739000,2.546000,-0.193000
8726520,2004-05-18T04:00:00,2.192000,2.156000,-0.036000
8726520,2004-05-24T04:00:00,2.664000,2.710000,0.046000
8726520,2004-06-01T04:00:00,2.352000,2.579000,0.227000
8726520,2004-06-07T04:00:00,1.322000,3.025000,1.703000
8726520,2004-06-14T04:00:00,1.962000,2.330000,0.368000
8726520,2004-06-21T04:00:00,1.276000,2.736000,1.460000
8726520,2004-06-28T04:00:00,1.850000,2.287000,0.437000
8726520,2004-06-29T04:00:00,2.264000,2.310000,0.046000
8726520,2004-07-07T04:00:00,1.414000,2.500000,1.086000
8726520,2004-07-12T04:00:00,1.877000,2.264000,0.387000
8726520,2004-07-19T04:00:00,2.828000,3.166000,0.338000
8726520,2004-07-26T04:00:00,1.962000,2.267000,0.305000
8726520,2004-08-02T04:00:00,3.153000,3.425000,0.272000
8726520,2004-08-09T04:00:00,2.054000,2.497000,0.443000
8726520,2004-08-17T04:00:00,2.579000,2.582000,0.003000
8726520,2004-08-23T04:00:00,2.149000,2.490000,0.341000
8726520,2004-08-30T04:00:00,2.773000,2.960000,0.187000
8726520,2004-09-08T04:00:00,2.155000,3.110000,0.955000
8726520,2004-09-13T04:00:00,2.227000,2.687000,0.460000
8726520,2004-09-20T04:00:00,2.818000,2.700000,-0.118000
8726520,2004-09-28T04:00:00,2.116000,3.507000,1.391000
8726520,2004-10-04T04:00:00,2.320000,2.458000,0.138000
8726520,2004-10-11T04:00:00,1.838000,2.832000,0.994000
8726520,2004-10-18T04:00:00,2.834000,2.759000,-0.075000
8726520,2004-10-25T04:00:00,1.732000,2.592000,0.860000
8726520,2004-11-01T05:00:00,2.539000,2.982000,0.443000
8726520,2004-11-08T05:00:00,1.588000,2.077000,0.489000
8726520,2004-11-15T05:00:00,3.419000,2.989000,-0.430000
8726520,2004-11-16T05:00:00,2.786000,2.038000,-0.748000
8726520,2004-11-22T05:00:00,1.361000,2.280000,0.919000
8726520,2004-11-29T05:00:00,1.421000,1.421000,0.000000
8726520,2004-12-06T05:00:00,1.700000,1.641000,-0.059000
8726520,2004-12-13T05:00:00,3.812000,2.520000,-1.292000
